managerID,teamID,startDate,endDate
243,132,2016-03-01,2018-06-01
302,132,2015-07-01,2016-03-01
292,132,2014-07-01,2015-05-01
302,132,2011-07-01,2014-06-01
303,133,2019-12-01,2022-10-01
304,133,2019-07-01,2019-12-01
305,133,2019-04-01,2019-06-01
266,133,2018-10-01,2019-04-01
256,133,2018-01-01,2018-10-01
247,133,2016-09-01,2018-01-01
271,133,2016-07-01,2016-09-01
146,133,2015-11-01,2016-06-01
307,133,2015-07-01,2015-11-01
262,133,2014-11-01,2015-06-01
302,133,2014-07-01,2014-11-01
262,133,2014-03-01,2014-06-01
308,133,2013-08-01,2014-03-01
249,134,2019-11-01,2021-04-01
279,134,2019-07-01,2019-11-01
309,134,2019-04-01,2019-06-01
286,134,2018-07-01,2019-04-01
310,134,2017-12-01,2018-06-01
295,134,2013-07-01,2017-12-01
311,135,2011-12-01,
261,136,2019-07-01,2021-06-01
312,136,2018-07-01,2019-06-01
16,136,2016-07-01,2018-05-01
312,136,2015-07-01,2016-06-01
279,136,2015-02-01,2015-06-01
307,136,2012-07-01,2015-02-01
82,137,2014-06-01,2016-05-01
112,137,2016-05-01,2016-12-01
113,137,2016-12-01,2017-03-01
114,137,2017-03-01,2018-01-01
115,137,2018-01-01,2018-06-01
116,137,2018-06-01,2020-01-01
117,137,2020-01-01,2021-06-01
46,138,2013-01-01,2016-06-01
118,138,2016-06-01,2017-07-01
119,138,2017-07-01,2017-12-01
120,138,2017-12-01,2018-04-01
121,138,2018-04-01,2018-05-01
122,138,2018-05-01,2019-06-01
123,138,2019-06-01,2022-10-01
124,139,2014-07-01,2015-04-01
125,139,2015-04-01,2016-05-01
126,139,2016-06-01,2017-02-01
127,139,2017-02-01,2017-10-01
128,139,2017-10-01,2018-02-01
129,139,2018-02-01,2018-05-01
29,140,2014-11-01,2015-11-01
130,140,2013-06-01,2014-11-01
131,140,2015-11-01,2018-03-01
132,140,2018-05-01,2018-12-01
133,140,2018-12-01,
149,141,2020-08-01,2022-05-01
150,141,2020-06-01,2020-08-01
151,141,2019-12-01,2020-06-01
122,141,2019-10-01,2019-12-01
152,141,2019-06-01,2019-10-01
153,141,2018-06-01,2019-06-01
152,141,2018-04-01,2018-06-01
80,141,2016-06-01,2018-04-01
154,141,2015-12-01,2016-06-01
155,141,2014-05-01,2015-12-01
156,141,2012-11-01,2014-05-01
313,142,2016-09-01,2021-06-01
314,142,2016-04-01,2016-09-01
315,142,2015-07-01,2016-04-01
316,142,2015-02-01,2015-06-01
317,142,2014-03-01,2015-01-01
318,143,2011-12-01,
127,144,2019-03-01,2022-01-01
319,144,2018-11-01,2019-03-01
320,144,2018-05-01,2018-11-01
321,144,2017-12-01,2018-05-01
322,144,2017-09-01,2017-11-01
323,144,2017-07-01,2017-09-01
324,144,2015-10-01,2017-07-01
319,144,2014-07-01,2015-10-01
325,144,2012-06-01,2014-07-01
326,145,2020-08-01,
321,145,2019-03-01,2020-07-01
328,145,2017-02-01,2019-03-01
329,145,2016-11-01,2017-02-01
330,145,2016-06-01,2016-11-01
321,145,2012-06-01,2016-06-01
331,146,2020-07-01,2021-05-01
332,146,2019-09-01,2020-06-01
333,146,2017-07-01,2019-09-01
334,146,2017-01-01,2017-06-01
198,146,2016-10-01,2016-12-01
322,146,2016-03-01,2016-09-01
336,146,2015-12-01,2016-03-01
44,146,2014-07-01,2015-11-01
337,146,2014-01-01,2014-07-01
126,147,2018-12-01,2021-01-01
119,147,2018-07-01,2018-12-01
338,147,2017-07-01,2018-06-01
339,147,2013-07-01,2017-06-01
8,148,2020-08-01,2021-10-01
324,148,2020-01-01,2020-08-01
339,148,2017-07-01,2020-01-01
341,148,2014-07-01,2017-06-01
342,148,2013-07-01,2014-06-01
152,149,2020-07-01,2022-02-01
343,149,2019-12-01,2020-07-01
344,149,2018-11-01,2019-12-01
329,149,2017-12-01,2018-11-01
319,149,2017-07-01,2017-12-01
153,149,2017-01-01,2017-06-01
345,149,2014-05-01,2017-01-01
330,149,2012-10-01,2014-05-01
347,150,2019-03-01,2021-06-01
348,150,2018-11-01,2019-03-01
123,150,2018-07-01,2018-10-01
347,150,2016-01-01,2018-05-01
58,150,2015-07-01,2016-01-01
11,150,2013-07-01,2015-05-01
349,151,2018-03-01,2021-10-01
350,151,2016-07-01,2018-03-01
153,151,2015-10-01,2016-06-01
351,151,2014-10-01,2015-10-01
352,151,2014-07-01,2014-10-01
121,151,2013-07-01,2014-05-01
354,152,2019-11-01,2020-11-01
315,152,2019-03-01,2019-11-01
355,152,2018-11-01,2019-03-01
356,152,2018-07-01,2018-11-01
357,152,2017-07-01,2018-06-01
119,152,2014-07-01,2017-06-01
341,152,2013-07-01,2014-06-01
60,153,2020-08-01,
153,153,2019-07-01,2020-06-01
324,153,2017-07-01,2019-06-01
125,153,2016-11-01,2017-05-01
359,153,2016-05-01,2016-11-01
360,153,2016-01-01,2016-05-01
127,153,2014-12-01,2016-01-01
46,154,2020-07-01,2022-10-01
361,154,2017-09-01,2020-07-01
315,154,2016-08-01,2017-09-01
333,154,2013-01-01,2016-08-01
85,155,2022-04-01,2022-11-01
362,155,2021-07-01,2022-03-01
363,155,2018-07-01,2021-06-01
364,155,2018-05-01,2018-06-01
365,155,2017-07-01,2018-03-01
366,155,2017-04-01,2017-06-01
351,155,2016-10-01,2017-04-01
321,155,2016-07-01,2016-09-01
115,155,2016-02-01,2016-06-01
330,155,2015-05-01,2016-02-01
368,155,2015-01-01,2015-05-01
121,155,2014-07-01,2015-01-01
351,155,2013-01-01,2014-06-01
352,156,2015-07-01,2021-06-01
126,156,2012-06-01,2015-06-01
130,157,2018-07-01,
363,157,2017-07-01,2018-06-01
369,157,2017-01-01,2017-06-01
370,157,2015-05-01,2016-11-01
371,157,2015-02-01,2015-05-01
372,157,2014-07-01,2015-02-01
331,157,2013-09-01,2014-06-01
122,158,2020-08-01,2021-01-01
132,158,2019-07-01,2020-07-01
151,158,2017-12-01,2019-06-01
374,158,2017-09-01,2017-11-01
375,158,2017-07-01,2017-09-01
14,158,2016-07-01,2017-06-01
313,158,2015-07-01,2016-06-01
376,158,2014-03-01,2015-06-01
377,158,2013-12-01,2014-03-01
378,159,2020-08-01,2021-01-01
156,159,2019-11-01,2020-07-01
14,159,2018-07-01,2019-10-01
132,159,2013-06-01,2018-06-01
379,160,2017-12-01,2021-06-01
111,160,2017-07-01,2017-11-01
380,160,2017-02-01,2017-06-01
381,160,2016-11-01,2017-02-01
382,160,2015-11-01,2016-11-01
383,160,2015-05-01,2015-11-01
384,160,2013-07-01,2015-06-01
43,161,2018-07-01,2020-12-01
46,161,2016-07-01,2018-06-01
385,161,2013-06-01,2016-06-01
386,162,2019-10-01,2021-09-01
387,162,2017-08-01,2019-10-01
388,162,2017-02-01,2017-06-01
389,162,2016-01-01,2017-02-01
