"teamID","venueID","venueName","capacity","address","city","country"
243,71,Stadio Ettore Giardiniero - Via del mare,"40,670",Via del Mare,Lecce,Italy
245,72,Elland Road,"37,972","Elland Road, LS11 0ES",Leeds,United Kingdom
159,73,Estadio Municipal de Butarque,"12,454",C. Arquitectura,Madrid,Spain
75,74,King Power Stadium,"32,312","Filbert Wy, LE2 7FL",Leicester,United Kingdom
210,75,Stade Bollaert-Delelis,"38,058",Av. Alfred Maes,Lens,France
151,76,Estadi Ciutat de València,"26,354","Carrer de Sant Vicent de Paül, 44",Valencia,Spain
160,77,Stade Pierre-Mauroy,"50,186",261 Bd de Tournai,Villeneuve-d'Ascq,France
87,78,Anfield,"53,394","Anfield Road, L4 0TH",Liverpool,United Kingdom
179,79,Stade du Moustoir - Yves Allainmat,"18,110",Rue du Tour des Portes,Lorient,France
178,80,Parc Olympique Lyonnais,"59,186",10 Av. Simone Veil,Décines-Charpieu,France
125,81,Mewa Arena,"33,305",Eugen-Salomon-Straße 1,Mainz,Germany
137,82,Estadio La Rosaleda,"30,044",P.º Martiricos,Málaga,Spain
239,83,Son Moix - Visit Mallorca Stadium,"23,142","23,142",Palma de Mallorca,Spain
88,84,City of Manchester Stadium,"53,400","Ashton New Road, M11 3FF",Manchester,United Kingdom
89,85,Manchester United,"74,310","Sir Matt Busby Way, M15 0RA",Manchester,United Kingdom
164,86,Stade Vélodrome,"67,394",3 Bd Michelet,Marseille,France
180,87,Stade Municipal Saint-Symphorien,"30,000",3 Bd Saint-Symphorien,Longeville-lès-Metz,France
93,88,Riverside Stadium,"34,742",TS3 6RS,Middlesbrough,United Kingdom
171,89,Stade Louis II,"18,523",7 Av. des Castelans,Fontvieille,Monaco
166,90,Stade de la Mosson,"32,900",345 Av. de Heidelberg,Montpellier,France
182,91,Stade Marcel Picot ,"20,087",90 Bd Jean Jaurès,Tomblaine,France
168,92,Stade de la Beaujoire – Louis Fonteneau,"37,473",Route de Saint-Joseph,Nantes,France
105,93,Stadio Diego Armando Maradona,"54,726",Piazzale Vincenzo Tecchio,Napoli,Italy
86,94,St James' Park,"52,405","Barrack Road, NE1 4ST",Newcastle upon Tyne,United Kingdom
170,95,Allianz Riviera,"36,178",Bd des Jardiniers,Nice,France
235,96,Stade des Costières,"18,364",123 Av. de la Bouvine,Nimes,France
79,97,Carrow Road,"27,244","Carrow Road, NR1 1JE",Norwich,United Kingdom
234,98,Max-Morlock-Stadion,"50,000",Max-Morlock-Platz 1,Nürnberg,Germany
157,99,Estadio El Sadar,"23,576",C. del Sadar,Pamplona,Spain
205,100,Home Deluxe Arena,"15,000",Wilfried-Finke-Allee 1,Paderborn,Germany
100,101,Stadio Renzo Barbera,"36,365","Viale del Fante, 11",Palermo,Italy
161,102,Parc des Princes,"47,929",24 Rue du Commandant Guilbaud,Paris,France
230,103,Stadio Ennio Tardini,"22,352","Viale Partigiani D'Italia, 1",Parma,Italy
114,104,Stadio Adriatico – Giovanni Cornacchia,"20,476",Viale V. Pepe,Pescara,Italy
202,105,Loftus Road,"18,439","S Africa Road, W12 7PJ",London,United Kingdom
136,106,Red Bull Arena,"47,069",Am Sportforum 3,Leipzig,Germany
145,107,Campo de Fútbol de Vallecas,"14,505","C. del Payaso Fofó, 0",Madrid,Spain
153,108,Estadio Benito Villamarín,"60,721",Av de Heliópolis,Sevilla,Spain
150,109,Santiago Bernabéu Stadium ,"81,044","Av. de Concha Espina, 1",Madrid,Spain
140,110,Anoeta Stadium,"39,500","1, Anoeta Pasalekua",Donostia-San Sebastián,Spain
231,111,Estadio José Zorrilla,"27,618",Av. Mundial 8,Valladolid,Spain
177,112,Stade Auguste-Delaune,"21,127",33 Chau. Bocquaine,Reims,France
163,113,Roazhon Park,"29,778",111 Rue de Lorient,Rennes,France
95,114,Stadio Olimpico,"72,698",Viale dei Gladiatori,Rome,Italy
175,115,Stade Geoffroy-Guichard,"41,965",14 Rue Paul et Pierre Guichard,Saint-Étienne,France
102,116,Stadio comunale Luigi Ferraris,"36,599","Via Giovanni de Prà, 1",Genova,Italy
104,117,Mapei Stadium - Città del Tricolore,"21,525","Piazzale Atleti Azzuri D'Italia, 1",Reggio Emilia,Italy
162,118,Stade Armand-Cesari,"16,078","Stade Armand Cesari, Route Du Stad",Furiani,France
124,119,Arena AufSchalke,"62,271",Rudi-Assauer-Platz 1,Gelsenkirchen,Germany
232,120,Estadio El Alcoraz,"9,100",Cam. de Cocorón,Huesca,Spain
138,121,Ramón Sánchez Pizjuán Stadium,"43,883",C. Sevilla Fútbol Club,Sevilla,Spain
238,122,Bramall Lane,"32,050","2 Bramall Lane, S2 4SU",Sheffield,England
74,123,St Mary's Stadium,"32,384","Britannia Road, SO14 5FP",Southampton,United Kingdom
221,124,Stadio Paolo Mazza,"16,134","Corso Piave, 28",Ferrara,Italy
260,125,Stadio Alberto Picco,"11,466",Via dei Pioppi,La Spezia,Italy
149,126,"Estadio Municipal El Molinón-Enrique Castro ""Quini""","30,000","Calle, Luis Adaro Ruíz Falcó",Gijon,Spain
85,127,Bet365 Stadium,"30,089",Stanley Matthews Way,Stoke-on-Trent,England
225,128,Stade de la Meinau,"26,109",12 Rue de l'Extenwoerth,Strasbourg,France
77,129,Stadium of Light,"49,000","Monkwearmouth, SR5 1SU",Sunderland,United Kingdom
84,130,Swansea.com Stadium,"21,088","Plasmarl, SA1 2FA",Swansea,United Kingdom
113,131,Stadio Olimpico Grande Torino,"27,958","Via Filadelfia, 96/b",Torino,Italy
82,132,Tottenham Hotspur Stadium,"62,850","782 High Road, N17 0BX",London,United Kingdom
174,133,Stadium de Toulouse,"33,150",1 All. Gabriel Biénès,Toulouse,France
172,134,Stade de l'Aube,"20,400",42 Av. Robert Schumann,Troyes,France
99,135,Stadio Friuli,"25,142","Piazzale Repubblica Argentina, 3",Udine,Italy
240,136,Stadion An der Alten Försterei,"22,012",An d. Wuhlheide 263,Berlin,Germany
146,137,Mestalla Stadium,"55,000",Av. de Suècia,Valencia,Spain
94,138,Stadio Marcantonio Bentegodi,"39,211","Piazzale Olimpia, 2",Verona,Italy
133,139,Mercedes-Benz Arena,"60,441",Mercedesstraße 8,Stuttgart,Germany
154,140,Estadio de la Cerámica,"23,500","Carrer Blasco Ibáñez, 2",Vila-real,Spain
90,141,Vicarage Road,"21,577","Vicarage Rd, WD18 0ER",Watford,United Kingdom
123,142,Weserstadion,"42,358",Franz-Böhmert-Straße 1,Bremen,Germany
76,143,The Hawthorns,"26,850","Halfords Lane, B71 4LF",West Bromwich,United Kingdom
81,144,London Stadium,"66,000",E20 2ST,London,United Kingdom
131,145,Volkswagen Arena,"30,000",In den Allerwiesen 1,Wolfsburg,Germany
229,146,Molineux Stadium,"32,050","Waterloo Road, WV1 4QR",Wolverhampton,United Kingdom
