name,code,born
Andriy Yarmolenko,UKR,1989
Andros Townsend,ENG,1991
Andy Carroll,ENG,1989
Andy Delort,ALG,1991
Andy Diouf,FRA,2003
Andy King,WAL,1988
Andy Pelmard,FRA,2000
Anele Ngcongca,RSA,1987
Angel,ESP,2002
Angel Correa,ARG,1995
Angel Di Maria,ARG,1988
Angel Gomes,ENG,2000
Angel Lafita,ESP,1984
Angel Lopez,ESP,1981
Angel Montoro,ESP,1988
Angel Rangel,ESP,1982
Angel Rodriguez,ESP,1987
Angel Trujillo,ESP,1987
Angelino,ESP,1997
Angelo da Costa Junior,BRA,1983
Angelo Fulgini,FRA,1996
Angelo Ndrecka,ALB,2001
Angelo Ogbonna,ITA,1988
Angelo Palombo,ITA,1981
Angus Gunn,ENG,1996
Anibal Chala,ECU,1996
Aniello Salzano,ITA,1991
Onis Ben-Hatira,TUN,1988
Ansgar Knauff,GER,2002
Ansou Sow,FRA,2000
Ansu Fati,ESP,2002
Ante Budimir,CRO,1991
Ante goric,CRO,1997
Ante Palaversa,CRO,2000
Ante Rebic,CRO,1993
Anthony Belmonte,FRA,1995
Anthony Briancon,FRA,1994
Anthony Caci,FRA,1997
Anthony Elanga,SWE,2002
Anthony Goncalves,FRA,1986
Anthony Gordon,ENG,2001
Anthony Jung,GER,1991
Anthony Knockaert,FRA,1991
Anthony Koura,BFA,1993
Anthony Limbombe,BEL,1994
Anthony Lopes,POR,1990
Anthony Lozano,HON,1993
Anthony Maisonnial,FRA,1998
Anthony Martial,FRA,1995
Anthony Mfa Mezui,GAB,1991
Anthony Modeste,FRA,1988
Anthony Mounier,FRA,1987
Anthony Racioppi,SUI,1998
Anthony Reveillere,FRA,1979
Anthony Ribelin,FRA,1996
Anthony Ujah,NGA,1990
Anthony Vanden Borre,BEL,1987
Anthony Walongwa,COD,1993
Anthony Weber,FRA,1987
Anto Grgic,SUI,1996
Antoine Bernede,FRA,1999
Antoine Conte,GUI,1994
Antoine Devaux,FRA,1985
Antoine Griezmann,FRA,1991
Antoine Rabillard,FRA,1995
Antoine Valerio,FRA,1999
Antolin Alcaraz,PAR,1982
Antonee Robinson,USA,1997
Antonin Barak,CZE,1994
Antonin Bobichon,FRA,1995
Antonino Barilla,ITA,1988
Antonino La Gumina,ITA,1996
Antonino Ragusa,ITA,1990
Antonio Adan,ESP,1987
Antonio Amaya,ESP,1983
Antonio Balzano,ITA,1986
Antonio Barragan,ESP,1987
Antonio Barreca,ITA,1995
Antonio Candreva,ITA,1987
Antonio Caracciolo,ITA,1990
Antonio Cassano,ITA,1982
Antonio Cioffi,ITA,2002
Antonio Colak,CRO,1993
Antonio Cortes,ESP,2000
Antonio Cotan,ESP,1995
Antonio Di Gaudio,ITA,1989
Antonio Di Natale,ITA,1977
Antonio Floro Flores,ITA,1983
Antonio Luna,ESP,1991
Antonio Mance,CRO,1995
Antonio Marin,ESP,1996
Antonio Mazzotta,ITA,1989
Antonio Mirante,ITA,1983
Antonio Nocerino,ITA,1985
Antonio Otegui,ESP,1998
Antonio Palumbo,ITA,1996
Antonio Puertas,ESP,1992
Antonio Raillo,ESP,1991
Antonio Raimondo,ITA,2004
Antonio Rosati,ITA,1983
Antonio Rudiger,GER,1993
Antonio Rukavina,SRB,1984
Antonio Sanabria,PAR,1996
Antonio Santurro,DOM,1992
Antonio Sivera,ESP,1996
Antonio Valencia,ECU,1985
Antonis Aidonis,GER,2001
Antonito,ESP,1987
Antony Evans,ENG,1998
Antony Ranieri,FRA,1997
Antony Robic,FRA,1986
Antwoine Hackford,ENG,2004
Anuar,MAR,1995
Anwar El Ghazi,NED,1995
Aras Ozbiliz,ARM,1990
Arber Zeneli,KVX,1995
Archimede Morleo,ITA,1983
Arda Turan,TUR,1987
Ardian Ismajli,ALB,1996
Arianit Ferati,GER,1997
Aridane Hernandez,EQG,1989
Ariday Cabrera,ESP,1988
Aristote Madiani,FRA,1995
