name,code,born
Enzo Le Fee,FRA,2000
Enzo Loiodice,FRA,2000
Enzo Maresca,ITA,1980
Enzo Millot,FRA,2002
Enzo Perez,ARG,1986
Enzo Roco,CHI,1992
Eren Dinkci,GER,2001
Eric Bailly,CIV,1994
Eric Bautheac,FRA,1987
Eric Dier,ENG,1994
Eric Garcia,ESP,2001
Eric Maxim Choupo-Moting,CMR,1989
Erick Cabaco,URU,1995
Erick Pulgar,CHI,1994
Erik Durm,GER,1992
Erik Exposito,ESP,1996
Erik Lamela,ARG,1992
Erik Moran,ESP,1991
Erik Pieters,NED,1988
Erik Thommy,GER,1994
Erin Pinheiro,CPV,1997
Erling Haaland,NOR,2000
Ermedin Demirovic,BIH,1998
Ermin Bicakcic,BIH,1990
Ermir Lenjani,ALB,1989
Ernest Seka,GUI,1987
Ernesto Torregrossa,ITA,1992
Eros Pisano,ITA,1987
Eros Schiavon,ITA,1983
Ervin Taha,FRA,1999
Ervin Zukanovic,BIH,1987
Erwan Belhadji,FRA,2001
Erwin Koffi,FRA,1995
Erwin Zelazny,FRA,1991
Esteban Burgos,ARG,1992
Esteban Cambiasso,ARG,1980
Esteban Granero,ESP,1987
Esteban Rolon,ARG,1995
Ethan Ampadu,WAL,2000
Etienne Capoue,FRA,1988
Etienne Didot,FRA,1983
Etienne Green,ENG,2000
Etrit Berisha,ALB,1989
Eugen Polanski,POL,1986
Eugeni Valderrama,ESP,1994
Eugenio Lamanna,ITA,1989
Eunan O'Kane,IRL,1990
Evandro Goebel,BRA,1986
Evann Guessand,FRA,2001
Evens Joseph,FRA,1999
Ever Banega,ARG,1988
Everton Luiz,BRA,1988
Ewandro,BRA,1996
Ewerton,BRA,1989
Exauce Ngassaki,CGO,1997
Exequiel Palacios,ARG,1998
Ezequiel Avila,ARG,1994
Ezequiel Garay,ARG,1986
Ezequiel Lavezzi,ARG,1985
Ezequiel Munoz,ARG,1990
Ezequiel Ponce,ARG,1997
Ezequiel Rescaldani,ARG,1992
Ezequiel Schelotto,ITA,1989
Ezgjan Alioski,MKD,1992
Ezri Konsa,ENG,1997
Fabian Balbuena,PAR,1991
Fabian Bredlow,GER,1995
Fabian Delph,ENG,1989
Fabian Frei,SUI,1989
Fabian Giefer,GER,1990
Fabian Holland,GER,1990
Fabian Johnson,USA,1987
Fabian Klos,GER,1987
Fabian Kunze,GER,1998
Fabian Lustenberger,SUI,1988
Fabian Orellana,CHI,1986
Fabian Reese,GER,1997
Fabian Ruiz Pena,ESP,1996
Fabian Schar,SUI,1991
Fabiano Santacroce,ITA,1986
Fabien Audard,FRA,1978
Fabien Camus,TUN,1985
Fabien Centonze,FRA,1996
Fabien Lemoine,FRA,1987
Fabien Robert,FRA,1989
Fabinho,BRA,1993
Fabio,BRA,1990
Fabio Borini,ITA,1991
Fabio Carvalho,POR,2002
Fabio Ceravolo,ITA,1987
Fabio Coentrao,POR,1988
Fabio Coltorti,SUI,1980
Fabio Daprela,SUI,1991
Fabio Della Giovanna,ITA,1997
Fabio Depaoli,ITA,1997
Fabio Espinho,POR,1985
Fabio Gonzalez,ESP,1997
Fabio Lucioni,ITA,1987
Fabio Pisacane,ITA,1986
Fabio Quagliarella,ITA,1983
Fabio Silva,POR,2002
Fabricio,ESP,1987
Fabricio Coloccini,ARG,1982
Fabrizio Alastra,ITA,1997
Fabrizio Cacciatore,ITA,1986
Fabrizio Caligara,ITA,2000
Fabrizio Poli,ITA,1989
Facundo Ferreyra,ARG,1991
Facundo Lescano,ARG,1996
Facundo Medina,ARG,1999
Facundo Pellistri,URU,2001
Facundo Piriz,URU,1990
Facundo Roncaglia,ARG,1987
Fadil Sido,BFA,1993
Fahad Al Muwallad,KSA,1994
Faitout Maouassa,FRA,1998
Faiz Selemani,COM,1993
Fakhreddine Ben Youssef,TUN,1991
Fali,ESP,1993
Fallou Diagne,SEN,1989
Famara Diedhiou,SEN,1992
Famoussa Kone,MLI,1994
Faouzi Ghoulam,ALG,1991
Fares Bahlouli,FRA,1995
Farid Boulaya,ALG,1993
Farid El Melali,ALG,1997
Faustino Anjorin,ENG,2001
Fausto Rossi,ITA,1990
Fausto Tienza,ESP,1990
Faycal Fajr,MAR,1988
Fede San Emeterio,ESP,1997
Fede Vico,ESP,1994
Federico Agliardi,ITA,1983
Federico Andrada,ARG,1994
Federico Balzaretti,ITA,1981
Federico Barba,ITA,1993
Federico Bernardeschi,ITA,1994
Federico Bonazzoli,ITA,1997
Federico Bonini,ITA,2001
Federico Brancolini,ITA,2001
Federico Cartabia,ARG,1993
Federico Ceccherini,ITA,1992
Federico Chiesa,ITA,1997
Federico Di Francesco,ITA,1994
Federico Dimarco,ITA,1997
Federico Dionisi,ITA,1987
Federico Fazio,ARG,1987
Federico Fernandez,ARG,1989
Federico Marchetti,ITA,1983
Federico Marigosu,ITA,2001
Federico Mattiello,ITA,1995
Federico Melchiorri,ITA,1987
Federico Palacios Martinez,GER,1995
Federico Peluso,ITA,1984
Federico Piovaccari,ITA,1984
Federico Ravaglia,ITA,1999
Federico Ricca,URU,1994
Federico Ricci,ITA,1994
Federico Santander,PAR,1991
Federico Serra,ITA,1997
Federico Valverde,URU,1998
Federico Viviani,ITA,1992
Felice D'Amico,ITA,2000
Felipe,BRA,1987
Felipe,BRA,1989
Felipe Anderson,BRA,1993
Felipe Avenatti,URU,1993
Felipe Caicedo,ECU,1988
Felipe Curcio,BRA,1993
Felipe dal Belo,BRA,1984
Felipe Gutierrez,CHI,1990
Felipe Mattioni,BRA,1988
Felipe Melo,BRA,1983
Felipe Pardo,COL,1990
Felipe Saad,BRA,1983
Felipe Santana,BRA,1986
Felipe Vizeu,BRA,1997
Felix Agu,GER,1999
Felix Correia,POR,2001
Felix Eboa Eboa,CMR,1997
Felix Gotze,GER,1998
Felix Klaus,GER,1992
Felix Kroos,GER,1991
Felix Passlack,GER,1998
Felix Platte,GER,1996
Felix Wiedwald,GER,1990
Femi Seriki,ENG,2002
Ferdinando Coppola,ITA,1978
Ferebory Dore,CGO,1989
Ferjani Sassi,TUN,1992
Ferland Mendy,FRA,1995
Fernandinho,BRA,1985
Fernando,BRA,1987
Fernando,BRA,1992
Fernando Amorebieta,VEN,1985
Fernando Aristeguieta,VEN,1992
Fernando Calero,ESP,1995
Fernando Forestieri,ITA,1990
Fernando Llorente,ESP,1985
Fernando Marcal,BRA,1989
Fernando Navarro,ESP,1982
Fernando Nino,ESP,2000
Fernando Pacheco,ESP,1992
Fernando Soriano,ESP,1979
Fernando Tissone,ARG,1986
Fernando Torres,ESP,1984
Ferran Corominas,ESP,1983
Ferran Torres,ESP,2000
Ferris N'Goma,FRA,1993
Fethi Harek,ALG,1982
Fidel,ESP,1989
Fikayo Tomori,ENG,1997
Filip Bradaric,CRO,1992
Filip Dorđevic,SRB,1987
Filip Duricic,SRB,1992
Filip Helander,SWE,1993
Filip Jagiello,POL,1997
Filip Kostic,SRB,1992
Filip Krovinovic,CRO,1995
Filip Kusic,SRB,1996
Filip Lesniak,SVK,1996
Filip Malbasic,SRB,1992
Filip Mladenovic,SRB,1991
Filipe Augusto,BRA,1993
Filipe Luis,BRA,1985
Filippo Costa,ITA,1995
Filippo Falco,ITA,1992
Filippo Melegoni,ITA,1999
Filippo Porcari,ITA,1984
Filippo Romagna,ITA,1997
Fin Bartels,GER,1987
Finn Dahmen,GER,1998
Finn Porath,GER,1997
Flavien Tait,FRA,1993
Flavius Daniliuc,AUT,2001
Florent Balmont,FRA,1980
Florent Chaigneau,FRA,1984
Florent da Silva,FRA,2003
Florent Hadergjonaj,KVX,1994
Florent Malouda,FRA,1980
Florent Mollet,FRA,1991
Florent Muslija,KVX,1998
Florent Poulolo,MTQ,1997
Florentin Pogba,GUI,1990
Florentino Luis,POR,1999
Florian Aye,FRA,1997
Florian Baak,GER,1999
Florian Chabrolle,FRA,1998
Florian Flick,GER,2000
Florian Grillitsch,AUT,1995
Florian Hartherz,GER,1993
Florian Hubner,GER,1991
Florian Jungwirth,GER,1989
Florian Kainz,AUT,1992
Florian Kastenmeier,GER,1997
Florian Kath,GER,1994
Florian Klein,AUT,1986
Florian Kohls,GER,1995
Florian Lejeune,FRA,1991
Florian Marange,FRA,1986
Florian Mayer,GER,1998
Florian Miguel,FRA,1996
Florian Muller,GER,1997
Florian Neuhaus,GER,1997
Florian Niederlechner,GER,1990
Florian Raspentino,FRA,1989
Florian Sotoca,FRA,1990
Florian Thauvin,FRA,1993
Florian Wirtz,GER,2003
Florin Andone,ROU,1993
Florin Gardos,ROU,1988
Floyd Ayite,TOG,1988
Fode Ballo-Toure,SEN,1997
Fode Doucoure,MLI,2001
Fouad Chafik,MAR,1986
Foued Kadir,ALG,1983
Fousseni Diabate,MLI,1995
Fraizer Campbell,ENG,1987
Fran Beltran,ESP,1999
Fran Gamez,ESP,1991
Fran Manzanara,ESP,1996
Fran Merida,ESP,1990
Fran Rico,ESP,1987
Fran Serrano,ESP,1995
Fran Sol,ESP,1992
Fran Velez,ESP,1991
Fran Villalba,ESP,1998
Francesco Acerbi,ITA,1988
Francesco Bardi,ITA,1992
Francesco Benussi,ITA,1981
Francesco Bolzoni,ITA,1989
Francesco Caputo,ITA,1987
Francesco Cassata,ITA,1997
Francesco Della Rocca,ITA,1987
Francesco Fedato,ITA,1992
Francesco Lodi,ITA,1984
Francesco Magnanelli,ITA,1984
Francesco Migliore,ITA,1988
Francesco Pisano,ITA,1986
Francesco Renzetti,ITA,1988
Francesco Rossi,ITA,1991
Francesco Tavano,ITA,1979
Francesco Totti,ITA,1976
Francesco Verde,ITA,1999
Francesco Vicari,ITA,1994
Francesco Zampano,ITA,1993
Francis Coquelin,FRA,1991
Francis Guerrero,ESP,1996
Francis Uzoho,NGA,1998
Francisco Molinero,ESP,1985
Francisco Montero,ESP,1999
Francisco Portillo,ESP,1990
Francisco Reis Ferreira,POR,1997
Francisco Rodriguez Araya,SUI,1995
Francisco Sierralta,CHI,1997
Francisco Trincao,POR,1999
Francisco Varela,ESP,1994
Franck Beria,FRA,1983
Franck Evina,CMR,2000
Franck Hery,FRA,1993
Franck Honorat,FRA,1996
Franck Kessie,CIV,1996
Franck Ribery,FRA,1983
Franck Signorino,FRA,1981
Franck Tabanou,FRA,1989
Franco Brienza,ITA,1979
Franco Di Santo,ARG,1989
Franco Fragapane,ARG,1993
Franco Mussis,ARG,1992
Franco Signorelli,VEN,1991
Franco Vazquez,ARG,1989
Franco Zuculini,ARG,1990
Francois Bellugou,FRA,1987
Francois Clerc,FRA,1983
Francois Kamano,GUI,1996
Francois Modesto,FRA,1978
Francois Moubandje,SUI,1990
Franjo Prce,CRO,1996
Frank Lampard,ENG,1978
Franklin Wadja,CMR,1995
Fraser Forster,ENG,1988
Fraser Hornby,SCO,1999
Fred,BRA,1993
Freddie Ladapo,ENG,1993
Freddie Veseli,ALB,1992
Frederic Bulot,GAB,1990
Frederic Guilbert,FRA,1994
Frederic Sammaritano,FRA,1986
Frederik Ronnow,DEN,1992
Frederik Sorensen,DEN,1992
Fredrik Jensen,FIN,1997
Fredrik Ulvestad,NOR,1992
Fredy Guarin,COL,1986
Fredy Hinestroza,COL,1990
Frenkie de Jong,NED,1997
Fynn Arkenberg,GER,1996
Fyodor Smolov,RUS,1990
Gabby Agbonlahor,ENG,1986
Gabi,ESP,1983
Gabriel,BRA,1992
Gabriel,BRA,1993
Gabriel Barbosa,BRA,1996
Gabriel Boschilia,BRA,1996
Gabriel Dos Santos,BRA,1997
Gabriel Fernandez,URU,1994
Gabriel Jesus,BRA,1997
Gabriel Mercado,ARG,1987
Gabriel Obertan,FRA,1989
Gabriel Paletta,ITA,1986
Gabriel Paulista,BRA,1990
Gabriel Penalba,ARG,1984
Gabriel Silva,BRA,1991
Gabriel Strefezza,BRA,1997
Gabriel Veiga,ESP,2002
Gabriele Angella,ITA,1989
Gabriele Corbo,ITA,2000
Gabriele Marchegiani,ITA,1996
Gabriele Moncini,ITA,1996
Gabriele Perico,ITA,1984
Gabriele Zappa,ITA,1999
Gaby Mudingayi,BEL,1981
Gael Andonian,ARM,1995
Gael Angoula,FRA,1982
Gael Clichy,FRA,1985
Gael Danic,FRA,1981
Gael Givet,FRA,1981
Gael Kakuta,COD,1991
Gaetan Belaud,FRA,1986
Gaetan Bong,CMR,1988
Gaetan Bussmann,FRA,1991
Gaetan Charbonnier,FRA,1988
Gaetan Courtet,FRA,1989
Gaetan Laborde,FRA,1994
Gaetan Paquiez,FRA,1994
Gaetan Perrin,FRA,1996
Gaetan Poussin,FRA,1999
Gaetano Berardi,SUI,1988
Gaetano Castrovilli,ITA,1997
Gaetano Letizia,ITA,1990
Gaetano Monachello,ITA,1994
Gaizka Toquero,ESP,1984
Gaku Shibasaki,JPN,1992
Ganso,BRA,1989
Gaoussou Traore,MLI,1999
Gareth Bale,WAL,1989
Gareth Barry,ENG,1981
Gareth McAuley,NIR,1979
Garry Rodrigues,CPV,1990
Gary Cahill,ENG,1985
Gary Hooper,ENG,1988
Gary Madine,ENG,1990
Gary Medel,CHI,1987
Gary O'Neil,ENG,1983
Gary Taylor-Fletcher,ENG,1981
Gaspar Panadero,ESP,1997
Gaston Brugman,URU,1992
Gaston Camara,GUI,1996
Gaston Pereiro,URU,1995
Gaston Ramirez,URU,1990
Gaston Silva,URU,1994
Gauthier Hein,FRA,1996
Gautier Larsonneur,FRA,1997
Gautier Lloris,FRA,1995
Gedson Fernandes,POR,1999
Gelson Fernandes,SUI,1986
Gelson Martins,POR,1995
Gen Shoji,JPN,1992
Genki Haraguchi,JPN,1991
Gennaro Acampora,ITA,1994
Gennaro Ruggiero,ITA,2000
Gennaro Sardo,ITA,1979
Gennaro Tutino,ITA,1996
Geoff Cameron,USA,1985
Geoffrey Acheampong,GHA,1997
Geoffrey Jourdren,FRA,1986
Geoffrey Kondogbia,CTA,1993
Georg Margreitter,AUT,1988
Georg Niedermeier,GER,1986
Georg Teigl,AUT,1991
George Baldock,GRE,1993
George Boyd,SCO,1985
George Friend,ENG,1987
George Hirst,ENG,1999
George Honeyman,ENG,1994
George Puscas,ROU,1996
George Timotheou,AUS,1997
Georges Gope-Fenepej,NCL,1988
Georges Mandjeck,CMR,1988
Georges Mikautadze,GEO,2000
Georges-Kevin N'Koudou,FRA,1995
Georgi Tunjov,EST,2001
Georginio Rutter,FRA,2002
Georginio Wijnaldum,NED,1990
Georgios Samaras,GRE,1985
Gerard Deulofeu,ESP,1994
Gerard Gumbau,ESP,1994
Gerard Moreno,ESP,1992
Gerard Pique,ESP,1987
Gerard Valentin,ESP,1993
Gerhard Tremmel,GER,1978
German Denis,ARG,1981
German Lux,ARG,1982
German Pezzella,ARG,1991
German Sanchez,ESP,1986
German Valera,ESP,2002
Geronimo Poblete,ARG,1993
Geronimo Rulli,ARG,1992
Gerrit Holtmann,PHI,1995
Gerson,BRA,1997
Gervinho,CIV,1987
Gerzino Nyamsi,FRA,1997
Ghislain Konan,CIV,1995
Giacomo Bonaventura,ITA,1989
Giacomo Manzari,ITA,2000
Giacomo Poluzzi,ITA,1988
Giacomo Raspadori,ITA,2000
Giacomo Ricci,ITA,1996
Giacomo Vrioni,ALB,1998
Giampaolo Pazzini,ITA,1984
Giampiero Pinzi,ITA,1981
Gian Crespi,ITA,2001
Gian Filippo Felicioli,ITA,1997
Gian Marco Ferrari,ITA,1992
Gian-Luca Itter,GER,1999
Giancarlo Gonzalez,CRC,1988
Giandomenico Mesto,ITA,1982
Giangiacomo Magnani,ITA,1995
Gianluca Caprari,ITA,1993
Gianluca Di Chiara,ITA,1993
Gianluca Frabotta,ITA,1999
Gianluca Gaetano,ITA,2000
Gianluca Gaudino,GER,1996
Gianluca Lapadula,PER,1990
Gianluca Mancini,ITA,1996
Gianluca Pegolo,ITA,1981
Gianluca Sansone,ITA,1987
Gianluca Scamacca,ITA,1999
Gianluigi Buffon,ITA,1978
Gianluigi Donnarumma,ITA,1999
Gianmarco Cangiano,ITA,2001
Giannelli Imbula,COD,1992
Gianni Bruno,BEL,1991
Gianni Munari,ITA,1983
Giannis Fetfatzidis,GRE,1990
Gianpaolo Bellini,ITA,1980
Gideon Jung,GER,1994
Giedrius Arlauskis,LTU,1987
Gil Bastiao Dias,POR,1996
Gilberto,BRA,1993
Gilles Cioni,FRA,1984
Gilles Sunu,TOG,1991
Gio Reyna,USA,2002
Giorgi Kochorashvili,GEO,1999
Giorgio Chiellini,ITA,1984
Giorgio Frezzolini,ITA,1976
Giorgos Kyriakopoulos,GRE,1996
Giovani dos Santos,MEX,1989
Giovani Lo Celso,ARG,1996
Giovanni Crociata,ITA,1997
Giovanni Di Lorenzo,ITA,1993
Giovanni Marchese,ITA,1984
Giovanni Pasquale,ITA,1982
Giovanni Simeone,ARG,1995
Giovanni Sio,CIV,1989
Giovanni Volpicelli,ITA,1999
Giulian Biancone,FRA,2000
Giulio Donati,ITA,1990
Giulio Maggiore,ITA,1998
Giulio Migliaccio,ITA,1981
Giuseppe Bellusci,ITA,1989
Giuseppe Biava,ITA,1977
Giuseppe Caso,ITA,1998
Giuseppe Cuomo,ITA,1998
Giuseppe De Feudis,ITA,1983
Giuseppe Di Serio,ITA,2001
Giuseppe Mastinu,ITA,1991
Giuseppe Panico,ITA,1997
Giuseppe Pezzella,ITA,1997
Giuseppe Prestia,ITA,1993
Giuseppe Rossi,ITA,1987
Giuseppe Vives,ITA,1980
Gleison Bremer,BRA,1997
Glen Johnson,ENG,1984
Glenn Murray,ENG,1983
Glenn Whelan,IRL,1984
Godfred Donsah,GHA,1996
Gojko Kacar,SRB,1987
Gokhan Inler,SUI,1984
Gokhan Tore,TUR,1992
Goncalo Guedes,POR,1996
Goncalo Paciencia,POR,1994
Gonzalo,ESP,1997
Gonzalo Bergessio,ARG,1984
Gonzalo Castro,GER,1987
Gonzalo Escalante,ARG,1993
Gonzalo Higuain,ARG,1987
Gonzalo Jara,CHI,1985
Gonzalo Maroni,ARG,1999
Gonzalo Melero,ESP,1994
Gonzalo Rodriguez,ARG,1984
Gonzalo Verdu,ESP,1988
Gonzalo Villar,ESP,1998
Goran Causic,SRB,1992
Goran Karanovic,SUI,1987
Goran Pandev,MKD,1983
Gorka Elustondo,ESP,1987
Gorka Guruzeta,ESP,1996
Gorka Iraizoz,ESP,1981
Gltoku Sakai,JPN,1991
Grady Diangana,ENG,1998
Graham Dorrans,SCO,1987
Granddi Ngoyi,COD,1988
Granit Xhaka,SUI,1992
Grant Hanley,SCO,1991
Grant Leadbitter,ENG,1986
Graziano Pelle,ITA,1985
Greg Cunningham,IRL,1991
Gregoire Defrel,MTQ,1991
Gregoire Puel,FRA,1992
Gregor Kobel,SUI,1997
Gregory Bourillon,FRA,1984
Gregory Pujol,FRA,1980
Gregory Sertic,FRA,1989
Gregory van der Wiel,NED,1988
Grejohn Kyei,FRA,1995
Grigoris Kastanos,CYP,1998
Grischa Promel,GER,1995
Grzegorz Krychowiak,POL,1990
Gueida Fofana,FRA,1991
Guessouma Fofana,MTN,1992
Guglielmo Stendardo,ITA,1981
Guglielmo Vicario,ITA,1996
Guido Burgstaller,AUT,1989
Guido Carrillo,ARG,1991
Guido Guerrieri,ITA,1996
Guido Marilungo,ITA,1989
Guido Milan,ARG,1987
Guido Pizarro,ARG,1990
Guido Rodriguez,ARG,1994
Guilherme,BRA,1991
Guilherme Arana,BRA,1997
Guilherme Siqueira,BRA,1986
Guillaume Gillet,BEL,1984
Guillem Molina,ESP,2000
Guillermo,ESP,1993
Guillermo Daniel Rodriguez,URU,1984
Guillermo Maripan,CHI,1994
Guillermo Ochoa,MEX,1985
Guillermo Varela,URU,1993
Guirane N'Daw,SEN,1984
Gustavo Cabral,ARG,1985
Gustavo Campanharo,BRA,1992
Gustavo Gomez,PAR,1993
Guus Til,NED,1997
Guy Demel,CIV,1981
Guy N'dy Assembe,CMR,1986
Guy Ngosso,CMR,1985
Gylfi Sigurosson,ISL,1989
Gyorgy Garics,AUT,1984
Habib Diallo,SEN,1995
Habib Habibou,CTA,1987
Habib Keita,MLI,2002
Habib Maiga,CIV,1996
Hacen,MTN,1997
Hachim Mastour,MAR,1998
Hadi Sacko,MLI,1994
Haitam Aleesami,NOR,1991
Haji Wright,USA,1998
Hajime Hosogai,JPN,1986
Hakan Calhanoglu,TUR,1994
Hakim El Mokeddem,BRA,1999
Hakim Ziyech,MAR,1993
Hal Robson-Kanu,WAL,1989
Halil Altistop,TUR,1982
Hamadi Al Ghaddioui,MAR,1990
Hamadou Karamoko,CIV,1995
Hamari Traore,MLI,1992
Hamed Junior Traore,CIV,2000
Hamidou Keyta,FRA,1994
Hamit Altistop,TUR,1982
Hamza Choudhury,ENG,1997
Hamza Mendyl,MAR,1997
Han Kwang-song,PRK,1998
Han-Noah Massengo,FRA,2001
Hannes Wolf,AUT,1999
Hannibal Mejbri,TUN,2003
Hanno Behrens,GER,1990
Hans Hateboer,NED,1994
Hans Nicolussi Caviglia,ITA,2000
Hans Nunoo Sarpei,GHA,1998
Haris Belkebla,ALG,1994
Haris Duljevic,BIH,1993
Haris Medunjanin,BIH,1985
Haris Seferovic,SUI,1992
Haris Vuckic,SVN,1992
Harold Moukoudi,CMR,1997
Harrison Manzala,COD,1994
Harrison Reed,ENG,1995
Harry Arter,IRL,1989
Harry Kane,ENG,1993
Harry Maguire,ENG,1993
Harry Wilson,WAL,1997
Harry Winks,ENG,1996
Harvey Barnes,ENG,1997
Harvey Elliott,ENG,2003
Hassane Kamara,CIV,1994
Hatem Ben Arfa,FRA,1987
Havard Nielsen,NOR,1993
Havard Nordtveit,NOR,1990
Hector,ESP,1995
Hector Bellerin,ESP,1995
Hector Hernandez,ESP,1991
Hector Herrera,MEX,1990
Hector Moreno,MEX,1988
Hector Rodas,ESP,1988
Hector Yuste,ESP,1988
Heiko Westermann,GER,1983
Heinz Lindner,AUT,1990
Helder Costa,ANG,1994
Helder Lopes,POR,1989
Helder Postiga,POR,1982
Heldon Ramos,CPV,1988
Helibelton Palacios,COL,1993
Hendrik Hansen,GER,1994
Hendrik Weydandt,GER,1995
Henning Matriciani,GER,2000
Henok Goitom,ERI,1984
Henri Bedimo,CMR,1984
Henri Bienvenu,CMR,1988
Henri Lansbury,ENG,1990
Henri Saivet,SEN,1990
Henrikh Mkhitaryan,ARM,1989
Henrique,BRA,1986
Henry Onyekuru,NGA,1997
Heriberto Tavares,POR,1997
Herman Moussaki,FRA,1999
Hernan,ESP,1990
Hernan Perez,PAR,1989
Hernan Toledo,ARG,1996
Hernanes,BRA,1985
Hernani,BRA,1994
Hernani Fortes,POR,1991
Herve Bazile,HAI,1990
Herve Koffi,BFA,1996
Herve Lybohy,NIG,1983
Hervin Ongenda,FRA,1995
Heurelho Gomes,BRA,1981
Hianga Mananga Mbock,FRA,1999
Hicham Boudaoui,ALG,1999
Hicham M'Laab,FRA,1990
Hicham Mahou,FRA,1999
Hidde ter Avest,NED,1997
Hiram Boateng,ENG,1996
Hiroki Sakai,JPN,1990
Hiroshi Kiyotake,JPN,1989
Hirving Lozano,MEX,1995
Holger Badstuber,GER,1989
Hong Jeong-ho,KOR,1989
Horour Magnusson,ISL,1993
Hotaru Yamaguchi,JPN,1990
Houboulang Mendes,FRA,1998
Houssem Aouar,FRA,1998
Hrvoje Milic,CRO,1989
Hrvoje Milicevic,BIH,1993
Hugo Almeida,POR,1984
Hugo Campagnaro,ARG,1980
Hugo Duro,ESP,1999
Hugo Ekitike,FRA,2002
Hugo Fraile,ESP,1987
Hugo Guillamon,ESP,2000
Hugo Lloris,FRA,1986
Hugo Magnetti,FRA,1998
Hugo Mallo,ESP,1991
Hugo Rodriguez,FRA,1991
Hugo Sotelo,ESP,2003
Hwang Hee-chan,KOR,1996
Hwang Ui-jo,KOR,1992
Iago,BRA,1997
Iago Aspas,ESP,1987
Iago Bouzon,ESP,1983
Iago Falque,ESP,1990
Iago Herrerin,ESP,1988
Ian Carlo Poveda,ENG,2000
Ian Gonzalez Nieto,ESP,1993
Ianis Hagi,ROU,1998
Ibai Gomez,ESP,1989
Ibrahim Afellay,NED,1986
Ibrahim Amadou,FRA,1993
Ibrahim Cisse,CIV,1999
Ibrahim Cisse,SEN,1996
Ibrahim Karamoko,FRA,2001
Ibrahim Sangare,CIV,1997
Ibrahima Cisse,GUI,1994
Ibrahima Diallo,FRA,1999
Ibrahima Konate,FRA,1999
Ibrahima Mbaye,SEN,1994
Ibrahima Niane,SEN,1999
Ibrahima Sissoko,FRA,1997
Ibrahima Traore,GUI,1988
Iddrisu Baba,GHA,1996
Idir Ouali,FRA,1988
Idriss Saadi,ALG,1992
Idrissa Doumbia,CIV,1998
Idrissa Gana Gueye,SEN,1989
Iglesias,ESP,1998
Ignacio Camacho,ESP,1990
Ignacio Pussetto,ARG,1995
Ignasi Miquel,ESP,1992
Ignatius Ganago,CMR,1999
Ignazio Abate,ITA,1986
Igor,BRA,1998
Igor Bubnjic,CRO,1992
Igor Lewczuk,POL,1985
Igor Lichnovsky,CHI,1994
Igor Zubeldia,ESP,1997
Ihlas Bebou,TOG,1994
Ihsan Sacko,FRA,1997
Ikechi Anya,SCO,1988
Ikechukwu Uche,NGA,1984
Iker Casillas,ESP,1981
Iker Hernandez,ESP,1994
Iker Muniain,ESP,1992
Ilaix Moriba,GUI,2003
Ilario Monterisi,ITA,2001
Ilay Elmkies,ISR,2000
Ilia Gruev,BUL,2000
Ilias Hassani,ALG,1995
Ilija Nestorovski,MKD,1990
Iliman Ndiaye,SEN,2000
İlkay Gundogan,GER,1990
Illan Meslier,FRA,2000
Ilyes Chaibi,ALG,1996
Imad Faraj,MAR,1999
Imanol Agirretxe,ESP,1987
Imanol Corral,ESP,1994
Imanol Garcia,ESP,1995
Imanol Sarriegi,ESP,1995
Immanuel Hohn,GER,1991
Imoh Ezekiel,NGA,1993
Imran Louza,MAR,1999
Inaki Williams,GHA,1994
Indiana Vassilev,USA,2001
Inigo Barrenetxea,ESP,1994
Inigo Cordoba,ESP,1997
Inigo Lekue,ESP,1993
Inigo Lopez,ESP,1982
Inigo Martinez,ESP,1991
Inigo Perez,ESP,1988
Inigo Vicente,ESP,1998
Ion Ansotegi,ESP,1982
Ionut Andrei Radu,ROU,
Ionut Radu,ROU,1997
Irvin Cardona,FRA,1997
Isaac Carcelen,ESP,1993
Isaac Cofie,GHA,1991
Isaac Cuenca,ESP,1991
Isaac Donkor,GHA,1995
Isaac Hayden,ENG,1995
Isaac Karamoko,FRA,2002
Isaac Kiese Thelin,SWE,1992
Isaac Lihadji,FRA,2002
Isaac Mbenza,BEL,1996
Isaac Success,NGA,1996
Isco,ESP,1992
Ishak Belfodil,ALG,1992
Islam Slimani,ALG,1988
Isma Lopez,ESP,1990
Isma Ruiz,ESP,2001
Ismael,ESP,2000
Ismael Aaneba,FRA,1999
Ismael Bangoura,GUI,1985
Ismael Bennacer,ALG,1997
Ismael Diomande,CIV,1992
Ismael Traore,CIV,1986
Ismaelben Boura,FRA,2000
Ismail Azzaoui,BEL,1998
Ismail Jakobs,SEN,1999
İsmail Koybani,TUR,1989
Ismaila Sarr,SEN,1998
Issa Cissokho,SEN,1985
Issa Diop,FRA,1997
Issah Abbas,GHA,1998
Issam Ben Khemis,TUN,1996
Issam El Adoua,MAR,1986
Issiaga Sylla,GUI,1994
Issiar Dia,SEN,1987
Issouf Sissokho,MLI,2002
Itay Shechter,ISR,1987
Iuri Medeiros,POR,1994
Ivan Alejo,ESP,1995
Ivan Balliu,ALB,1992
Ivan Cavaleiro,POR,1993
Ivan Cuellar,ESP,1984
Ivan Ilic,SRB,2001
Ivan Lopez,ESP,1993
Ivan Marcano,ESP,1987
Ivan Marcone,ARG,1990
Ivan Marquez,ESP,1994
Ivan Martic,CRO,1990
Ivan Perisic,CRO,1989
Ivan Piris,PAR,1989
