managerID,teamID,managerName,startDate,endDate
152,141,David Gallego,201906,201910
153,141,Joan Francesc Ferrer,201806,201906
152,141,David Gallego,201804,201806
80,141,Enrique Sanchez Flores,201606,201804
154,141,Constantin Galca,201512,201606
155,141,Sergio Gonzalez,201405,201512
156,141,Javier Aguirre,201211,201405
,142,,,
,143,,,
,144,,,
,145,,,
,146,,,
,147,,,
,148,,,
,149,,,
,150,,,
,151,,,
,152,,,
,153,,,
,154,,,
,155,,,
,156,,,
,157,,,
,158,,,
,159,,,
,160,,,
,161,,,
,162,,,
,163,,,
,164,,,
,165,,,
,166,,,
,167,,,
,168,,,
,169,,,
,170,,,
,171,,,
,172,,,
,173,,,
,174,,,
,175,,,
,176,,,
,177,,,
,178,,,
,179,,,
,180,,,
,181,,,
,182,,,
57,202,Steve McClaren,201805,201904
69,202,Harry Redknapp,201211,201502
70,202,Chris Ramsey,201502,201511
71,202,Jimmy Floyd Hasselbaink,201512,201611
72,202,Ian Holloway,201611,201805
73,202,Mark Warburton,201905,202206
,203,,,
,,,,
,205,,,
,206,,,
,207,,,
,208,,,
,209,,,
,210,,,
87,219,Chris Powell,201409,201511
88,219,David Wagner,201511,201901
89,219,Jan Siewert,201901,201908
90,219,Danny Cowley,201909,202007
91,219,Carlos Corberán,202007,202207
53,220,Graham Potter,201905,202209
92,220,Sami Hyypia,201406,201412
93,220,Chris Hughton,201412,201905
,221,,,
,222,,,
,223,,,
,224,,,
,225,,,
35,227,Neil Warnock,201610,201911
63,227,Ole Gunnar Solskjær,201401,201409
94,227,Russell Slade,201410,201605
95,227,Paul Trollope,201605,201610
96,227,Neil Harris,201911,202101
97,227,Mick McCarthy,202101,202110
18,228,Claudio Ranieri,201811,201902
79,228,Slaviša Jokanović,201512,201811
98,228,Felix Magath,201402,201409
99,228,Kit Symons,201409,201511
100,228,Scott Parker,201902,202106
1,229,Paul Lambert,201611,201705
44,229,Nuno Espírito Santo,201705,202106
101,229,Kenny Jackett,201306,201607
102,229,Walter Zenga,201607,201610
,230,,,
,231,,,
,232,,,
,233,,,
,234,,,
,235,,,
66,238,Nigel Adkins,201506,201605
103,238,Nigel Clough,201310,201505
104,238,Chris Wilder,201605,202103
217,239,Luis Garcia,202008,202203
149,239,Vicente Moreno,201707,202008
218,239,Sergi Barjuan,201704,201707
219,239,Javier Olaizola,201612,201704
220,239,Fernando Vazquez,201601,201612
222,239,Albert Ferrer,201507,201601
223,239,Miquel Soler,201502,201507
224,239,Valery Karpin,201408,201502
225,239,Lluis Carreras,201306,201405
226,240,Urs Fischer,201807,na
227,240,Andre Hofschneider,201712,201807
228,240,Jens Keller,201606,201712
229,240,Sascha Lewandowski,201509,201606
230,240,Norbert Duwel,201407,201509
,241,,,
173,242,Diego Lopez,202002,na
188,242,Eugenio Corini,201912,202002
231,242,Roberto Boscaglia,201707,201912
232,242,Alessandro Calori,201502,201707
188,243,Eugenio Corini,202008,202205
235,243,Fabio Liverani,201709,202008
236,243,Roberto Rizzo,201707,201709
237,243,Franco Lerda,201309,201707
48,245,Garry Monk,201606,201705
105,245,Darko Milanič,201409,201410
106,245,Neil Redfearn,201411,201506
107,245,Uwe Rösler,201507,201510
108,245,Steve Evans,201510,201605
109,245,Thomas Christiansen,201706,201802
110,245,Paul Heckingbottom,201802,201806
111,245,Marcelo Bielsa,201806,202202
134,245,Brian Mcdermott,201304,201405
135,260,Nenad Bjelica,201406,201511
136,260,Domenico Di Carlo,201511,201706
137,260,Fabio Gallo,201706,201806
138,260,Pasquale Marino,201806,201905
139,260,Vincenzo Italiano,201907,202106
140,261,Antonio Calderon,201407,201411
141,261,Claudio Barragan,201411,201604
142,261,Alvaro Cervera,201604,202201
143,262,Norbert Meier,201402,201606
144,262,Rudiger Rehm,201606,201610
145,262,Carsten Rump,201610,201611
146,262,Jurgen Kramny,201611,201703
145,262,Carsten Rump,201703,201703
147,262,Jeff Saibene,201703,201812
148,262,Uwe Neuhaus,201812,202103
